workers,limit,returncode,elapsed_s,process_elapsed_s,success_count,fail_count,skip_count,processed_count,videos_per_hour,processed_per_hour,add_elapsed_s,readiness_elapsed_s,cleanup_elapsed_s,materialization_started,timeout_hit,source_ready_age_s_total,source_ready_age_s_max,source_ready_age_s_avg,content_fetch_status_counts,stdout_path,stderr_path,log_dir,log_file
1,400,0,1935.499,1935.68,343,57,0,400,637.98,743.99,0.0,0.0,0.0,False,False,0.0,0.0,0.0,{},P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_01\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_01\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_01\logs,P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_01\logs\term_6d91dde0.jsonl
2,400,0,849.348,849.489,380,20,0,400,1610.65,1695.42,1276.391,0.0,118.519,False,False,5383.65,20.318,13.459,"{""command_failed"": 20, ""ready"": 380}",P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_02\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_02\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_02\logs,P:\packages\yt-is\.logs\worker_count_trials\20260423_145237\workers_02\logs\term_354f5c11.jsonl
