workers,limit,returncode,elapsed_s,process_elapsed_s,success_count,fail_count,skip_count,processed_count,videos_per_hour,processed_per_hour,add_elapsed_s,readiness_elapsed_s,cleanup_elapsed_s,materialization_started,timeout_hit,stdout_path,stderr_path,log_dir,log_file
1,1200,0,1773.327,1773.449,297,903,0,1200,602.93,2436.1,0.0,0.0,0.0,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_01\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_01\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_01\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_01\logs\term_790fcbb9.jsonl
2,1200,0,1362.113,1362.234,296,904,0,1200,782.31,3171.54,616.99,0.0,583.343,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_02\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_02\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_02\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_02\logs\term_fa44d2dc.jsonl
3,1200,0,1099.958,1100.077,297,903,0,1200,972.04,3927.42,657.375,0.0,604.858,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_03\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_03\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_03\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_03\logs\term_ec277a43.jsonl
4,1200,0,569.192,569.314,245,955,0,1200,1549.56,7589.71,538.337,0.0,506.397,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_04\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_04\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_04\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_04\logs\term_c569092c.jsonl
5,1200,0,416.129,416.251,249,951,0,1200,2154.14,10381.4,612.352,0.0,510.414,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_05\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_05\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_05\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_05\logs\term_1b037043.jsonl
6,1200,0,480.436,480.557,288,912,0,1200,2158.04,8991.83,702.345,0.0,617.275,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_06\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_06\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_06\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_06\logs\term_ae6e0dfc.jsonl
7,1200,0,420.908,421.031,282,918,0,1200,2411.93,10263.53,725.923,0.0,612.714,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_07\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_07\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_07\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_07\logs\term_c9c20b1e.jsonl
8,1200,0,408.615,408.736,280,920,0,1200,2466.87,10572.3,738.538,0.0,608.263,False,False,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_08\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_08\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_08\logs,P:\packages\yt-is\.logs\worker_count_trials\20260422_185633\workers_08\logs\term_8b6ffc4e.jsonl
