workers,limit,sample_label,returncode,elapsed_s,process_elapsed_s,success_count,fail_count,skip_count,processed_count,videos_per_hour,processed_per_hour,add_elapsed_s,readiness_elapsed_s,cleanup_elapsed_s,worker_idle_wait_s,materialization_started,timeout_hit,source_ready_age_s_total,source_ready_age_s_max,source_ready_age_s_avg,youtube_ytdlp_elapsed_s_total,youtube_ytdlp_elapsed_s_max,youtube_ytdlp_elapsed_s_count,youtube_ytdlp_elapsed_s_avg,youtube_page_elapsed_s_total,youtube_page_elapsed_s_max,youtube_page_elapsed_s_count,youtube_page_elapsed_s_avg,shared_retry_deferred_count,shared_retry_recovered_count,shared_retry_final_failed_count,shared_retry_processed_count,content_fetch_status_counts,stdout_path,stderr_path,log_dir,log_file
2,400,mixed_lane,0,823.032,823.232,400,0,0,400,1749.63,1749.63,991.75,0.0,106.988,0.0,False,False,5064.229,50.73,12.661,4.655,2.5,2,2.327,0.0,0.0,0,0.0,,,,,"{""ready"": 400}",P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_02\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_02\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_02\logs,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_02\logs\term_9d95f51e.jsonl
4,400,mixed_lane,0,1340.915,1341.116,365,35,0,400,979.93,1073.89,593.374,0.0,140.78,606.761,False,False,29672.531,843.184,74.181,140.501,2.52,71,1.979,0.0,0.0,0,0.0,,,,,"{""command_failed"": 35, ""ready"": 365}",P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_04\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_04\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_04\logs,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_04\logs\term_882c4509.jsonl
8,400,mixed_lane,0,1168.501,1168.631,258,142,0,400,794.86,1232.35,535.024,0.0,144.118,489.359,False,False,39259.692,987.645,130.866,176.92,3.067,86,2.057,0.0,0.0,0,0.0,,,,,"{""command_failed"": 42, ""ready"": 258}",P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_08\stdout.txt,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_08\stderr.txt,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_08\logs,P:\packages\yt-is\.logs\worker_count_trials\20260425_234812\workers_08\logs\term_7a3df94b.jsonl
