=== Transcript Fetcher ===
Channels: 1298
Mode: LIVE
Workers: 3
Pattern: ROUND-ROBIN

Starting round-robin download across all channels...

Total pending videos: 52301

progress: done=118/52301, ok=116, fail=2, pending=52183
progress: done=119/52301, ok=117, fail=2, pending=52182
progress: done=120/52301, ok=118, fail=2, pending=52181
progress: done=121/52301, ok=119, fail=2, pending=52180
progress: done=122/52301, ok=120, fail=2, pending=52179
progress: done=123/52301, ok=121, fail=2, pending=52178
progress: done=124/52301, ok=122, fail=2, pending=52177
progress: done=125/52301, ok=123, fail=2, pending=52176
progress: done=126/52301, ok=124, fail=2, pending=52175
progress: done=127/52301, ok=125, fail=2, pending=52174
progress: done=128/52301, ok=126, fail=2, pending=52173
progress: done=129/52301, ok=127, fail=2, pending=52172
progress: done=130/52301, ok=128, fail=2, pending=52171
progress: done=131/52301, ok=129, fail=2, pending=52170
progress: done=132/52301, ok=130, fail=2, pending=52169
progress: done=133/52301, ok=131, fail=2, pending=52168
[Industrial] Staging notebook ready: 920d94f4-4668-4918-9717-9772b31116d9
[Industrial] Adding sub-batch of 1 sources (current=0, limit=300)
[Industrial] Sub-batch add failed (0-1): (no output) — clearing notebook
progress: done=134/52301, ok=132, fail=2, pending=52167
progress: done=135/52301, ok=133, fail=2, pending=52166
progress: done=136/52301, ok=134, fail=2, pending=52165
progress: done=137/52301, ok=135, fail=2, pending=52164
progress: done=138/52301, ok=136, fail=2, pending=52163
progress: done=139/52301, ok=137, fail=2, pending=52162
progress: done=140/52301, ok=138, fail=2, pending=52161
progress: done=141/52301, ok=139, fail=2, pending=52160
progress: done=142/52301, ok=140, fail=2, pending=52159
progress: done=143/52301, ok=141, fail=2, pending=52158
progress: done=144/52301, ok=142, fail=2, pending=52157
progress: done=145/52301, ok=143, fail=2, pending=52156
progress: done=146/52301, ok=144, fail=2, pending=52155
progress: done=147/52301, ok=145, fail=2, pending=52154
progress: done=148/52301, ok=146, fail=2, pending=52153
progress: done=149/52301, ok=147, fail=2, pending=52152
progress: done=150/52301, ok=148, fail=2, pending=52151
progress: done=151/52301, ok=149, fail=2, pending=52150
progress: done=152/52301, ok=150, fail=2, pending=52149
progress: done=153/52301, ok=151, fail=2, pending=52148
progress: done=154/52301, ok=152, fail=2, pending=52147
progress: done=155/52301, ok=153, fail=2, pending=52146
progress: done=156/52301, ok=154, fail=2, pending=52145
progress: done=157/52301, ok=155, fail=2, pending=52144
[Industrial] Staging notebook ready: 91df5c2e-cd4e-430f-9c74-b62ad83590ee
[Industrial] Adding sub-batch of 1 sources (current=0, limit=300)
progress: done=158/52301, ok=156, fail=2, pending=52143
[Industrial] Sub-batch 1: waiting for 1 sources in NLM...
[Industrial] Source list ready for scrape: 1 total IDs after add
progress: done=159/52301, ok=157, fail=2, pending=52142
progress: done=160/52301, ok=158, fail=2, pending=52141
[Industrial] Using Chrome profile clone: C:\Users\brsth\AppData\Local\yt-is\selenium-profiles\chrome\27396_1778737350_8fdd1467/Profile (seeded from P:\.data\yt-is\browser\notebooklm)
[Industrial] Opening https://notebooklm.google.com/notebook/91df5c2e-cd4e-430f-9c74-b62ad83590ee...
[Industrial] NotebookLM browser session is not authenticated; aborting DOM scrape.
[Industrial] Batch complete: 0/1 succeeded (0%)
progress: done=161/52301, ok=159, fail=2, pending=52140
progress: done=162/52301, ok=160, fail=2, pending=52139
progress: done=163/52301, ok=161, fail=2, pending=52138
progress: done=164/52301, ok=162, fail=2, pending=52137
progress: done=165/52301, ok=163, fail=2, pending=52136
progress: done=166/52301, ok=164, fail=2, pending=52135
progress: done=167/52301, ok=165, fail=2, pending=52134
progress: done=168/52301, ok=166, fail=2, pending=52133
progress: done=169/52301, ok=167, fail=2, pending=52132
progress: done=170/52301, ok=168, fail=2, pending=52131
progress: done=171/52301, ok=169, fail=2, pending=52130
progress: done=172/52301, ok=170, fail=2, pending=52129
progress: done=173/52301, ok=171, fail=2, pending=52128
progress: done=174/52301, ok=172, fail=2, pending=52127
progress: done=175/52301, ok=173, fail=2, pending=52126
progress: done=176/52301, ok=174, fail=2, pending=52125
progress: done=177/52301, ok=175, fail=2, pending=52124
progress: done=178/52301, ok=176, fail=2, pending=52123
progress: done=179/52301, ok=177, fail=2, pending=52122
progress: done=180/52301, ok=178, fail=2, pending=52121
progress: done=181/52301, ok=179, fail=2, pending=52120
progress: done=182/52301, ok=180, fail=2, pending=52119
progress: done=183/52301, ok=181, fail=2, pending=52118
progress: done=184/52301, ok=182, fail=2, pending=52117
progress: done=185/52301, ok=183, fail=2, pending=52116
progress: done=186/52301, ok=184, fail=2, pending=52115
progress: done=187/52301, ok=185, fail=2, pending=52114
progress: done=188/52301, ok=186, fail=2, pending=52113
progress: done=189/52301, ok=187, fail=2, pending=52112
progress: done=190/52301, ok=188, fail=2, pending=52111
progress: done=191/52301, ok=189, fail=2, pending=52110
progress: done=192/52301, ok=190, fail=2, pending=52109
progress: done=193/52301, ok=191, fail=2, pending=52108
progress: done=194/52301, ok=192, fail=2, pending=52107
progress: done=195/52301, ok=193, fail=2, pending=52106
progress: done=196/52301, ok=194, fail=2, pending=52105
progress: done=197/52301, ok=195, fail=2, pending=52104
progress: done=198/52301, ok=196, fail=2, pending=52103
progress: done=199/52301, ok=197, fail=2, pending=52102
progress: done=200/52301, ok=198, fail=2, pending=52101
progress: done=201/52301, ok=199, fail=2, pending=52100
progress: done=202/52301, ok=200, fail=2, pending=52099
progress: done=203/52301, ok=201, fail=2, pending=52098
progress: done=204/52301, ok=202, fail=2, pending=52097
progress: done=205/52301, ok=203, fail=2, pending=52096
progress: done=206/52301, ok=204, fail=2, pending=52095
progress: done=207/52301, ok=205, fail=2, pending=52094
progress: done=208/52301, ok=206, fail=2, pending=52093
progress: done=209/52301, ok=207, fail=2, pending=52092
progress: done=210/52301, ok=208, fail=2, pending=52091
progress: done=211/52301, ok=209, fail=2, pending=52090
progress: done=212/52301, ok=210, fail=2, pending=52089
progress: done=213/52301, ok=211, fail=2, pending=52088
progress: done=214/52301, ok=212, fail=2, pending=52087
progress: done=215/52301, ok=213, fail=2, pending=52086
progress: done=216/52301, ok=214, fail=2, pending=52085
progress: done=217/52301, ok=215, fail=2, pending=52084
progress: done=218/52301, ok=216, fail=2, pending=52083
progress: done=219/52301, ok=217, fail=2, pending=52082
progress: done=220/52301, ok=218, fail=2, pending=52081
progress: done=221/52301, ok=219, fail=2, pending=52080
progress: done=222/52301, ok=220, fail=2, pending=52079
progress: done=223/52301, ok=221, fail=2, pending=52078
progress: done=224/52301, ok=222, fail=2, pending=52077
progress: done=225/52301, ok=223, fail=2, pending=52076
progress: done=226/52301, ok=224, fail=2, pending=52075
progress: done=227/52301, ok=225, fail=2, pending=52074
progress: done=228/52301, ok=226, fail=2, pending=52073
progress: done=229/52301, ok=227, fail=2, pending=52072
progress: done=230/52301, ok=228, fail=2, pending=52071
progress: done=231/52301, ok=229, fail=2, pending=52070
progress: done=232/52301, ok=230, fail=2, pending=52069
progress: done=233/52301, ok=231, fail=2, pending=52068
progress: done=234/52301, ok=232, fail=2, pending=52067
progress: done=235/52301, ok=233, fail=2, pending=52066
progress: done=236/52301, ok=234, fail=2, pending=52065
progress: done=237/52301, ok=235, fail=2, pending=52064
progress: done=238/52301, ok=236, fail=2, pending=52063
progress: done=239/52301, ok=237, fail=2, pending=52062
progress: done=240/52301, ok=238, fail=2, pending=52061
progress: done=241/52301, ok=239, fail=2, pending=52060
progress: done=242/52301, ok=240, fail=2, pending=52059
progress: done=243/52301, ok=241, fail=2, pending=52058
progress: done=244/52301, ok=242, fail=2, pending=52057
progress: done=245/52301, ok=243, fail=2, pending=52056
progress: done=246/52301, ok=244, fail=2, pending=52055
progress: done=247/52301, ok=245, fail=2, pending=52054
progress: done=248/52301, ok=246, fail=2, pending=52053
progress: done=249/52301, ok=247, fail=2, pending=52052
progress: done=250/52301, ok=248, fail=2, pending=52051
